GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,homePosition,homePoints,homePercentage,awayPosition,awayPoints,awayPercentage,Day,Month,MinutesSinceMidnight,finalPosition,finalPoints,finalPercentage,finalAPosition,finalAPoints,finalAPercentage
2012R0804,2012,8,2012-05-19,22.2,10.2,2.0,8,1900-01-01 16:40:00,20818,16,7.1,11.4,16.9,21.12,138,11,0.3,1.5,2.7,5.7,37,4.0,24.0,141.5,18.0,0.0,52.5,5,5,1000,3,64,140.6,16,16,67.5
2012R0805,2012,8,2012-05-19,32.1,19.8,0.0,14,1900-01-01 19:10:00,8724,18,1.3,2.6,6.12,9.18,72,8,1.5,2.9,3.1,4.1,34,11.0,16.0,95.2,17.0,0.0,60.3,5,5,1150,15,20,67.0,17,12,60.8
2012R0806,2012,8,2012-05-19,14.4,10.5,1.8,2,1900-01-01 19:50:00,80900,5,6.2,12.7,16.9,19.14,128,14,4.2,6.8,11.16,15.19,109,3.0,28.0,133.4,13.0,12.0,103.0,5,5,1190,11,44,100.0,12,42,111.6
2012R0807,2012,8,2012-05-20,24.0,11.3,0.0,7,1900-01-01 13:10:00,16049,2,7.3,10.9,13.14,19.18,132,9,1.2,3.5,4.5,5.1,40,14.0,12.0,88.0,16.0,4.0,47.7,6,5,790,13,40,91.0,18,8,46.2
2012R0808,2012,8,2012-05-20,15.2,4.8,0.2,5,1900-01-01 15:15:00,35917,3,5.2,5.4,7.6,8.7,55,1,4.5,9.6,13.9,19.1,124,7.0,20.0,122.2,2.0,28.0,134.7,6,5,915,10,44,108.0,2,68,132.5
2012R0809,2012,8,2012-05-20,26.5,9.2,0.0,4,1900-01-01 14:40:00,38174,17,6.2,13.6,15.7,18.13,121,15,1.4,5.5,11.1,13.13,91,1.0,28.0,137.7,9.0,16.0,117.0,6,5,880,5,60,124.2,9,48,123.3
2012R0901,2012,9,2012-05-25,10.8,8.4,4.0,5,1900-01-01 19:50:00,29118,18,1.1,6.2,8.5,11.9,75,7,3.5,6.9,9.9,14.11,95,13.0,16.0,93.2,9.0,20.0,103.7,4,5,1190,15,20,67.0,6,60,117.1
2012R0902,2012,9,2012-05-26,16.0,7.6,28.0,2,1900-01-01 13:45:00,51617,14,4.4,8.8,13.9,21.11,137,10,1.3,4.9,8.1,10.15,75,12.0,16.0,110.6,8.0,20.0,116.4,5,5,825,12,42,111.6,1,68,154.6
2012R0903,2012,9,2012-05-26,21.0,11.4,8.2,3,1900-01-01 14:10:00,12416,8,2.5,7.6,7.8,10.1,70,13,4.4,7.7,14.14,17.16,118,17.0,0.0,60.2,15.0,12.0,86.7,5,5,850,17,12,60.8,14,22,78.9
2012R0904,2012,9,2012-05-26,16.0,7.6,28.0,5,1900-01-01 16:40:00,34737,15,3.1,8.7,14.14,16.15,111,16,4.4,5.4,8.6,12.11,83,7.0,20.0,118.8,5.0,24.0,130.7,5,5,1000,9,48,123.3,3,64,140.6
2012R0905,2012,9,2012-05-26,16.9,11.1,7.2,6,1900-01-01 19:10:00,44238,1,3.1,4.5,6.1,6.13,49,4,3.2,5.6,5.1,10.15,75,3.0,28.0,127.4,4.0,28.0,110.9,5,5,1150,2,68,132.5,4,64,116.5
2012R0906,2012,9,2012-05-26,17.4,7.7,0.2,15,1900-01-01 19:40:00,11887,9,0.5,2.9,4.11,7.11,53,5,3.1,8.1,13.8,18.11,119,16.0,4.0,47.3,2.0,32.0,140.2,5,5,1180,18,8,46.2,11,44,100.0
2012R0907,2012,9,2012-05-27,14.5,8.8,4.6,5,1900-01-01 13:10:00,19988,12,6.4,13.8,15.8,17.1,112,2,3.2,5.4,11.6,15.6,96,11.0,16.0,112.7,14.0,12.0,87.7,6,5,790,8,56,112.5,13,40,91.0
2012R0908,2012,9,2012-05-27,14.5,8.8,4.6,2,1900-01-01 15:15:00,28371,3,3.3,7.8,8.14,15.17,107,11,3.4,5.7,6.1,6.13,49,6.0,24.0,128.9,18.0,0.0,51.8,6,5,915,10,44,108.0,16,16,67.5
2012R0909,2012,9,2012-05-27,24.5,6.2,0.0,4,1900-01-01 14:40:00,40905,17,0.4,2.8,7.14,11.18,84,6,1.1,3.2,3.3,5.6,36,1.0,32.0,142.6,10.0,20.0,95.5,6,5,880,5,60,124.2,7,56,115.7
2012R1001,2012,10,2012-06-01,16.1,3.1,0.0,5,1900-01-01 19:50:00,49337,15,3.4,9.6,10.14,16.17,113,14,3.7,9.8,12.11,18.13,121,9.0,20.0,115.3,10.0,20.0,110.1,4,6,1190,9,48,123.3,12,42,111.6
2012R1002,2012,10,2012-06-02,16.2,3.8,0.0,11,1900-01-01 13:45:00,17243,7,4.2,7.3,13.8,19.12,126,9,4.2,7.3,8.5,9.7,61,8.0,24.0,111.0,17.0,4.0,47.4,5,6,825,6,60,117.1,18,8,46.2
2012R1003,2012,10,2012-06-02,12.7,4.5,0.0,13,1900-01-01 14:10:00,16143,10,5.2,12.5,20.1,27.12,174,12,4.1,6.4,7.4,9.5,59,6.0,24.0,128.9,12.0,16.0,99.8,5,6,850,1,68,154.6,8,56,112.5
2012R1004,2012,10,2012-06-02,20.6,7.4,0.0,4,1900-01-01 14:40:00,31392,6,3.3,6.6,10.9,12.1,82,1,5.2,10.5,12.6,17.9,111,11.0,20.0,92.6,3.0,32.0,128.2,5,6,880,7,56,115.7,2,68,132.5
2012R1005,2012,10,2012-06-02,19.1,9.8,0.0,6,1900-01-01 19:10:00,24746,13,5.2,9.4,10.9,14.15,99,3,3.1,4.2,5.6,6.9,45,13.0,16.0,93.4,7.0,24.0,118.7,5,6,1150,14,22,78.9,10,44,108.0
2012R1006,2012,10,2012-06-02,15.4,2.1,0.0,2,1900-01-01 19:40:00,42987,5,1.5,2.9,5.13,6.16,52,11,1.2,4.3,5.5,8.1,58,2.0,32.0,136.4,16.0,4.0,54.6,5,6,1180,11,44,100.0,16,16,67.5
2012R1007,2012,10,2012-06-03,22.9,16.4,26.4,7,1900-01-01 13:10:00,15546,2,3.3,7.4,8.5,16.6,102,17,2.1,5.5,10.7,15.1,100,14.0,16.0,89.2,1.0,32.0,136.9,6,6,790,13,40,91.0,5,60,124.2
2012R1008,2012,10,2012-06-03,15.7,14.0,28.7,8,1900-01-01 15:15:00,13505,16,9.0,10.5,16.9,20.12,132,18,1.1,3.1,4.5,5.1,40,5.0,28.0,141.7,15.0,16.0,83.9,6,6,915,3,64,140.6,15,20,67.0
2012R1009,2012,10,2012-06-03,13.3,5.6,0.8,2,1900-01-01 16:40:00,36913,4,5.4,12.6,18.9,23.11,149,8,3.1,5.3,5.7,7.1,52,4.0,32.0,122.4,18.0,0.0,56.9,6,6,1000,4,64,116.5,17,12,60.8
2012R1101,2012,11,2012-06-08,13.1,8.1,0.0,5,1900-01-01 19:50:00,47632,3,4.4,6.6,9.1,11.19,85,7,2.2,5.7,10.1,14.13,97,9.0,24.0,115.3,7.0,28.0,111.3,4,6,1190,10,44,108.0,6,60,117.1
2012R1102,2012,11,2012-06-09,11.9,9.0,6.2,2,1900-01-01 13:40:00,43801,14,5.2,6.3,8.8,9.12,66,6,4.1,7.3,9.6,12.6,78,11.0,20.0,108.1,10.0,24.0,94.5,5,6,820,12,42,111.6,7,56,115.7
2012R1103,2012,11,2012-06-09,20.7,14.7,0.4,3,1900-01-01 16:40:00,12534,8,1.3,3.4,6.6,7.7,49,15,4.3,10.6,15.12,21.18,144,18.0,0.0,54.3,8.0,24.0,124.8,5,6,1000,17,12,60.8,9,48,123.3
2012R1104,2012,11,2012-06-09,11.9,9.0,6.2,5,1900-01-01 19:40:00,42785,5,1.5,1.11,2.15,11.16,82,16,5.3,8.6,11.8,13.8,86,4.0,32.0,132.3,2.0,32.0,137.9,5,6,1180,11,44,100.0,3,64,140.6
